IMG/center_2016_12_01_13_30_48_287.jpg, IMG/left_2016_12_01_13_30_48_287.jpg, IMG/right_2016_12_01_13_30_48_287.jpg,0,0,0,22.14829
IMG/center_2016_12_01_13_30_48_404.jpg, IMG/left_2016_12_01_13_30_48_404.jpg, IMG/right_2016_12_01_13_30_48_404.jpg,0,0,0,21.87963
IMG/center_2016_12_01_13_31_12_937.jpg, IMG/left_2016_12_01_13_31_12_937.jpg, IMG/right_2016_12_01_13_31_12_937.jpg,0,0,0,1.453011
IMG/center_2016_12_01_13_31_13_037.jpg, IMG/left_2016_12_01_13_31_13_037.jpg, IMG/right_2016_12_01_13_31_13_037.jpg,0,0,0,1.438419
IMG/center_2016_12_01_13_31_13_177.jpg, IMG/left_2016_12_01_13_31_13_177.jpg, IMG/right_2016_12_01_13_31_13_177.jpg,0,0,0,1.418236
IMG/center_2016_12_01_13_31_13_279.jpg, IMG/left_2016_12_01_13_31_13_279.jpg, IMG/right_2016_12_01_13_31_13_279.jpg,0,0,0,1.403993
IMG/center_2016_12_01_13_31_13_381.jpg, IMG/left_2016_12_01_13_31_13_381.jpg, IMG/right_2016_12_01_13_31_13_381.jpg,0,0,0,1.389892
IMG/center_2016_12_01_13_31_13_482.jpg, IMG/left_2016_12_01_13_31_13_482.jpg, IMG/right_2016_12_01_13_31_13_482.jpg,0,0,0,1.375934
IMG/center_2016_12_01_13_31_13_584.jpg, IMG/left_2016_12_01_13_31_13_584.jpg, IMG/right_2016_12_01_13_31_13_584.jpg,0,0,0,1.362115
IMG/center_2016_12_01_13_31_13_686.jpg, IMG/left_2016_12_01_13_31_13_686.jpg, IMG/right_2016_12_01_13_31_13_686.jpg,0,0,0,1.348435
IMG/center_2016_12_01_13_31_13_786.jpg, IMG/left_2016_12_01_13_31_13_786.jpg, IMG/right_2016_12_01_13_31_13_786.jpg,0,0,0,1.334892
IMG/center_2016_12_01_13_31_13_890.jpg, IMG/left_2016_12_01_13_31_13_890.jpg, IMG/right_2016_12_01_13_31_13_890.jpg,0,0,0,1.31882
IMG/center_2016_12_01_13_31_13_991.jpg, IMG/left_2016_12_01_13_31_13_991.jpg, IMG/right_2016_12_01_13_31_13_991.jpg,0,0,0,1.305575
IMG/center_2016_12_01_13_31_14_092.jpg, IMG/left_2016_12_01_13_31_14_092.jpg, IMG/right_2016_12_01_13_31_14_092.jpg,0,0,0,1.292579
IMG/center_2016_12_01_13_31_14_194.jpg, IMG/left_2016_12_01_13_31_14_194.jpg, IMG/right_2016_12_01_13_31_14_194.jpg,0,0,0,1.279884
IMG/center_2016_12_01_13_31_14_295.jpg, IMG/left_2016_12_01_13_31_14_295.jpg, IMG/right_2016_12_01_13_31_14_295.jpg,0,0,0,1.267316
IMG/center_2016_12_01_13_31_14_398.jpg, IMG/left_2016_12_01_13_31_14_398.jpg, IMG/right_2016_12_01_13_31_14_398.jpg,0,0,0,1.254873
IMG/center_2016_12_01_13_31_14_500.jpg, IMG/left_2016_12_01_13_31_14_500.jpg, IMG/right_2016_12_01_13_31_14_500.jpg,0,0,0,1.242555
IMG/center_2016_12_01_13_31_14_602.jpg, IMG/left_2016_12_01_13_31_14_602.jpg, IMG/right_2016_12_01_13_31_14_602.jpg,0,0,0,1.230361
IMG/center_2016_12_01_13_31_14_702.jpg, IMG/left_2016_12_01_13_31_14_702.jpg, IMG/right_2016_12_01_13_31_14_702.jpg,0,0,0,1.218291
IMG/center_2016_12_01_13_31_14_803.jpg, IMG/left_2016_12_01_13_31_14_803.jpg, IMG/right_2016_12_01_13_31_14_803.jpg,0,0,0,1.206346
IMG/center_2016_12_01_13_31_14_904.jpg, IMG/left_2016_12_01_13_31_14_904.jpg, IMG/right_2016_12_01_13_31_14_904.jpg,0,0,0,1.194345
